[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001555s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.001368s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.001486s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.001727s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.001498s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.001503s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.001458s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.001466s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.001520s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.001551s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.001468s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.001256s ]
[ 2013-06-05T11:50:16+08:00 ] /new/admin.php?a=menu&m=public&tag=4 | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000235s ]
