[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Run ContentReplace Behavior [ RunTime:0.001018s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Run TokenBuild Behavior [ RunTime:0.001010s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000888s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Run ShowRuntime Behavior [ RunTime:0.001043s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004094s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ view_end ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001070s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=4 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001120s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001152s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001240s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | SQL: SHOW COLUMNS FROM `yjl_supervisors` [ RunTime:0.001616s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | NOTIC: [8] Undefined index:  p supervisorModel.class.php 第 37 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | SQL: SELECT COUNT(*) AS tp_count FROM `yjl_supervisors` WHERE profession = 5 LIMIT 1   [ RunTime:0.000177s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | SQL: SELECT yjl_company.name as company,yjl_company.region,yjl_supervisors.* FROM `yjl_supervisors` LEFT JOIN yjl_company ON yjl_company.id = yjl_supervisors.cid WHERE profession = 5 ORDER BY addtime DESC LIMIT 0,1   [ RunTime:0.000155s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ view_template ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Run LocationTemplate Behavior [ RunTime:0.001110s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001174s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ view_parse ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | NOTIC: [8] Undefined variable: web_title 8fc1b62dd067a8ae227fdf05b24233d5.php 第 15 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Run ParseTemplate Behavior [ RunTime:0.013934s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013999s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ view_filter ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Run ContentReplace Behavior [ RunTime:0.001031s ]
